layer,f1_macro,f1_capable_failed,f1_honest_mistake,f1_natural_deception,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_capable_failed_natural_deception,cm_norm_capable_failed_natural_deception,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_natural_deception_capable_failed,cm_norm_natural_deception_capable_failed,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth
20,0.35903761669132767,0.5158620952513346,0.5797271039683529,0.004380616899245811,0.33618065064637737,2371,0.5964779874213837,1140,0.28679245283018867,2,0.0005031446540880503,462,0.11622641509433962,965,0.23862512363996044,2847,0.7040059347181009,14,0.0034619188921859545,218,0.05390702274975272,512,0.2838137472283814,1191,0.6601995565410199,4,0.0022172949002217295,97,0.05376940133037694,1369,0.513503375843961,599,0.22468117029257315,1,0.00037509377344336085,697,0.2614403600900225
21,0.36275907039386823,0.5233349311968327,0.5812259349211473,0.008737360420631734,0.3377380550368611,2399,0.6035220125786164,1122,0.28226415094339624,3,0.0007547169811320754,451,0.11345911949685535,957,0.23664688427299704,2865,0.7084569732937686,12,0.002967359050445104,210,0.05192878338278932,499,0.27660753880266076,1196,0.6629711751662971,8,0.004434589800443459,101,0.05598669623059867,1337,0.5015003750937734,631,0.23668417104276068,1,0.00037509377344336085,697,0.2614403600900225
22,0.3677375046518183,0.523743650471971,0.5846548688239027,0.005467653412858893,0.3570838458985409,2386,0.6002515723270441,1088,0.27371069182389934,5,0.0012578616352201257,496,0.12477987421383648,942,0.23293768545994065,2874,0.7106824925816023,14,0.0034619188921859545,214,0.05291790306627102,509,0.2821507760532151,1210,0.6707317073170732,5,0.002771618625277162,80,0.04434589800443459,1300,0.4876219054763691,614,0.23030757689422354,0,0.0,752,0.2820705176294073
23,0.3656398166723719,0.5251160847065073,0.5835235922689109,0.006530917939494072,0.3473886717745753,2403,0.6045283018867924,1112,0.279748427672956,7,0.001761006289308176,453,0.11396226415094339,941,0.23269040553907022,2872,0.7101879327398615,12,0.002967359050445104,219,0.05415430267062315,492,0.2727272727272727,1215,0.6735033259423503,6,0.0033259423503325942,91,0.05044345898004435,1342,0.5033758439609902,600,0.2250562640660165,2,0.0007501875468867217,722,0.27081770442610653
24,0.37036201649491574,0.5272845015714889,0.5859052114134997,0.01196547141650915,0.3562928815781651,2418,0.6083018867924528,1088,0.27371069182389934,7,0.001761006289308176,462,0.11622641509433962,946,0.23392680514342234,2861,0.7074678536102869,11,0.0027200791295746785,226,0.05588526211671612,498,0.27605321507760533,1196,0.6629711751662971,11,0.006097560975609756,99,0.054878048780487805,1336,0.5011252813203301,576,0.21605401350337583,5,0.0018754688672168042,749,0.28094523630907725
25,0.36332351461574663,0.5179588540660317,0.5820465873805472,0.004333591472994356,0.3489550255434136,2365,0.5949685534591195,1143,0.2875471698113208,4,0.0010062893081761006,463,0.11647798742138364,950,0.23491592482690404,2870,0.7096933728981206,22,0.005440158259149357,202,0.049950544015825916,495,0.27439024390243905,1213,0.6723946784922394,4,0.0022172949002217295,92,0.050997782705099776,1346,0.5048762190547637,591,0.22168042010502625,5,0.0018754688672168042,724,0.27156789197299325
26,0.3589425937493719,0.5112017168930703,0.5794726380840112,0.003287785995295877,0.34180823402511024,2333,0.5869182389937107,1171,0.29459119496855346,3,0.0007547169811320754,468,0.11773584905660377,963,0.2381305637982196,2869,0.7094460929772503,9,0.002225519287833828,203,0.05019782393669634,511,0.28325942350332595,1205,0.667960088691796,3,0.0016629711751662971,85,0.04711751662971175,1345,0.5045011252813203,612,0.22955738934733683,3,0.0011252813203300824,706,0.26481620405101275
27,0.35931433951011715,0.514874435711053,0.5823059004142337,0.0022008294735567464,0.3378761924416255,2332,0.5866666666666667,1175,0.29559748427672955,3,0.0007547169811320754,465,0.1169811320754717,920,0.2274975272007913,2903,0.7178536102868447,8,0.0019782393669634025,213,0.052670623145400594,512,0.2838137472283814,1202,0.6662971175166297,2,0.0011086474501108647,88,0.04878048780487805,1319,0.49474868717179293,646,0.2423105776444111,3,0.0011252813203300824,698,0.2618154538634659
28,0.3555573571756937,0.5135796028071665,0.5782259252093163,0.0021888848963947777,0.3282350157898971,2342,0.5891823899371069,1179,0.29660377358490564,3,0.0007547169811320754,451,0.11345911949685535,948,0.2344213649851632,2879,0.7119188921859545,10,0.002472799208704253,207,0.05118694362017804,509,0.2821507760532151,1209,0.6701773835920177,2,0.0011086474501108647,84,0.04656319290465632,1345,0.5045011252813203,646,0.2423105776444111,6,0.002250562640660165,669,0.2509377344336084
29,0.35398284850821904,0.5093987691965529,0.5776425685413583,0.005485556235277386,0.32340450005968757,2317,0.5828930817610063,1199,0.30163522012578614,1,0.00025157232704402514,458,0.11522012578616352,946,0.23392680514342234,2878,0.7116716122650841,6,0.001483679525222552,214,0.05291790306627102,520,0.28824833702882485,1180,0.6541019955654102,5,0.002771618625277162,99,0.054878048780487805,1339,0.5022505626406601,661,0.2479369842460615,3,0.0011252813203300824,663,0.24868717179294825
30,0.3555212301442261,0.5103572941319817,0.5764965321564136,0.009827424742186328,0.32540366954632266,2312,0.5816352201257862,1188,0.2988679245283019,0,0.0,475,0.11949685534591195,942,0.23293768545994065,2868,0.7091988130563798,12,0.002967359050445104,222,0.05489614243323442,499,0.27660753880266076,1193,0.6613082039911308,9,0.004988913525498891,103,0.05709534368070954,1332,0.49962490622655664,655,0.24568642160540136,5,0.0018754688672168042,674,0.2528132033008252
31,0.35458840595126967,0.5088399601563027,0.5770675223417829,0.009863145316367394,0.3225829959906256,2326,0.5851572327044026,1188,0.2988679245283019,2,0.0005031446540880503,459,0.11547169811320755,969,0.23961424332344214,2861,0.7074678536102869,7,0.0017309594460929772,207,0.05118694362017804,516,0.2860310421286031,1174,0.6507760532150776,9,0.004988913525498891,105,0.0582039911308204,1354,0.5078769692423106,646,0.2423105776444111,5,0.0018754688672168042,661,0.2479369842460615
32,0.35387606867346266,0.5072103550590888,0.5795327414367344,0.007626725281252511,0.3211344529167749,2306,0.5801257861635221,1197,0.3011320754716981,1,0.00025157232704402514,471,0.11849056603773585,956,0.23639960435212662,2891,0.7148862512363996,8,0.0019782393669634025,189,0.04673590504451038,502,0.27827050997782704,1195,0.6624168514412417,7,0.003880266075388027,100,0.05543237250554324,1353,0.5075018754688673,649,0.24343585896474118,9,0.0033758439609902473,655,0.24568642160540136
33,0.35042544842408585,0.5022695853180008,0.5744600134416149,0.006578468454069959,0.3183937264826576,2294,0.5771069182389937,1224,0.30792452830188677,1,0.00025157232704402514,456,0.11471698113207547,972,0.2403560830860534,2858,0.7067260138476755,8,0.0019782393669634025,206,0.050939663699307615,525,0.291019955654102,1177,0.6524390243902439,6,0.0033259423503325942,96,0.05321507760532151,1368,0.5131282820705176,646,0.2423105776444111,4,0.0015003750937734434,648,0.24306076519129782
34,0.34648815414221024,0.5037931628526823,0.5758067016848167,0.005482495782395748,0.30087025624894614,2316,0.5826415094339623,1206,0.30339622641509434,3,0.0007547169811320754,450,0.11320754716981132,987,0.24406528189910978,2869,0.7094460929772503,8,0.0019782393669634025,180,0.04451038575667656,526,0.2915742793791574,1173,0.6502217294900222,5,0.002771618625277162,100,0.05543237250554324,1389,0.5210052513128282,672,0.25206301575393847,4,0.0015003750937734434,601,0.22543135783945986
35,0.3514533512127168,0.5072450680526258,0.5723724422580649,0.009750507316439344,0.31644538722373705,2316,0.5826415094339623,1193,0.30012578616352203,3,0.0007547169811320754,463,0.11647798742138364,987,0.24406528189910978,2838,0.701780415430267,12,0.002967359050445104,207,0.05118694362017804,496,0.2749445676274945,1188,0.6585365853658537,9,0.004988913525498891,111,0.061529933481152994,1356,0.5086271567891973,652,0.24456114028507125,10,0.0037509377344336083,648,0.24306076519129782
